judge,flight,wine,score,wine.amer,judge.amer,description
John Foy,white,D1,15.0,0,1,"""Light gold. A stunning bouquet offers powerful pear, peach pit, anise, salty minerality and a huge wallop of smoky peat-this smells like an Islay whisky! Painfully concentrated pit fruit flavors are complemented by orange peel, clove and smoked meat, but there's an elegance to this that's reminiscent of a top-notch Burgundy. A simply remarkable wine, with uncanny complexity and depth of flavor."""
John Foy,white,E1,14.5,1,1,"This is perhaps the most elegant Chardonnay ever produced by Chalk Hill.  The wine displays the tropical fruit and mineral characteristics of the estate, and is delicately infused with citrus, pear and honeysuckle, an imprint from the cool vintage conditions."
John Foy,white,F1,14.5,1,1,"This Napa Valley Sauvignon Blanc is lively, and bright with aromasof citrus blossom, grapefruit and lemongrass. It's intense flavorbursts with refreshing fruit on the palate. White peach, grapefruit,and tropical fruit notes are followed by balanced minerality that iscomplemented by a long, rich finish. Enjoy with oysters, shrimpscampi, grilled fish or even fried chicken. It is also great on its ownwith friends and family. Cheers!"
John Foy,white,G1,16.0,1,1,"This cuvee's complexity and finesse stem from the harmony between the structure, richness, and power from the Marnes soil and the light, floral fruitiness lent by the Caillottes. This double origin gives this wine its remarkable personality."
John Foy,white,H1,17.0,0,1,"The spectacular 2010 vintage in the Chalone appellation gave this Chardonnay its highly nuanced flavors and exceptional structure.  The cool temperatures allowed us to patiently wait for wonderfully ripe flavors, revealed in the wine as layers of peach, pear and citrus, while the pronounced minerality and silky texture come from our unique terroir.  As always, right after bottling, I found fresh, lemony notes predominating in the aromas, but it is now starting to develop the complex brioche nuances that I love in this wine as it ages."
John Foy,white,I1,15.0,1,1,"The French say “Enchanté” when they greet each other. Andrew Murray has named their Estate-Grown, signature white blend of Grenache Blanc and Roussanne after this expression. These two varieties are truly yin and yang. Roussanne is rich and unctuous, while Grenache Blanc is bright and racy. The two complement each other perfectly! The winery fermented and aged this wine in older French Oak barrels, which lends a beautifully smooth texture to this dry white wine. "
John Foy,white,J1,17.5,0,1,Pale gold color. Very refreshing aromas of citrus fruit (grapefruit) mixed with fresh honey enhanced by a hint of minerality. Well-structured and tense. Well-integrated acidity and beautiful minerality. Energetic aftertaste.
Olivier Gergaud,white,A1,14.0,1,0,"After hand-picking, whole cluster pressing, and complete primary malo-lactic fermentation in the barrel (which are 50% new French), the wine was aged sur-lie for 12 months. The final product is a wine of balance and restraint with underlying power. You can smell and taste the flinty soil. After bottle aging for a year the limey, lemony flavors and aromas are starting to become more apparent."
Olivier Gergaud,white,B1,19.0,1,0,"This enticing Sauvignon Blanc offers a beautiful combination of freshness and complexity. The aromas are rich and layered with elements of pineapple, guava, peach and lemon zest. On the palate, the entry is crisp and inviting with good acidity supporting flavors of lemon meringue, grapefruit, pear and flint. The addition of Semillon ccentuates the wine's tropical notes with subtle oak adding nuance and dimension. "
Olivier Gergaud,white,C1,12.0,0,0,"Our 2013 Gewurztraminer displays classic rose and ginger aromatics. The concentration of the vintage is apparent in the mouth, there is great texture to balance the abundant fruit. We strive for balance, this grape seems almost naturally prone to excess, with great interplay between acid and fruit. This balance is key with great Gewurztraminers, both in texture and flavor. The 2013 vintage is a showy vintage, yet and displays the floral notes, tropical fruit, and spice flavors that are the hallmarks of Thomas Fogarty Gewurztraminer. "
Olivier Gergaud,white,D1,10.0,0,0,"""Light gold. A stunning bouquet offers powerful pear, peach pit, anise, salty minerality and a huge wallop of smoky peat-this smells like an Islay whisky! Painfully concentrated pit fruit flavors are complemented by orange peel, clove and smoked meat, but there's an elegance to this that's reminiscent of a top-notch Burgundy. A simply remarkable wine, with uncanny complexity and depth of flavor."""
Olivier Gergaud,white,E1,19.0,1,0,"This is perhaps the most elegant Chardonnay ever produced by Chalk Hill.  The wine displays the tropical fruit and mineral characteristics of the estate, and is delicately infused with citrus, pear and honeysuckle, an imprint from the cool vintage conditions."
Olivier Gergaud,white,F1,18.0,1,0,"This Napa Valley Sauvignon Blanc is lively, and bright with aromasof citrus blossom, grapefruit and lemongrass. It's intense flavorbursts with refreshing fruit on the palate. White peach, grapefruit,and tropical fruit notes are followed by balanced minerality that iscomplemented by a long, rich finish. Enjoy with oysters, shrimpscampi, grilled fish or even fried chicken. It is also great on its ownwith friends and family. Cheers!"
Olivier Gergaud,white,G1,17.0,1,0,"This cuvee's complexity and finesse stem from the harmony between the structure, richness, and power from the Marnes soil and the light, floral fruitiness lent by the Caillottes. This double origin gives this wine its remarkable personality."
Olivier Gergaud,white,H1,16.0,0,0,"The spectacular 2010 vintage in the Chalone appellation gave this Chardonnay its highly nuanced flavors and exceptional structure.  The cool temperatures allowed us to patiently wait for wonderfully ripe flavors, revealed in the wine as layers of peach, pear and citrus, while the pronounced minerality and silky texture come from our unique terroir.  As always, right after bottling, I found fresh, lemony notes predominating in the aromas, but it is now starting to develop the complex brioche nuances that I love in this wine as it ages."
Olivier Gergaud,white,I1,18.0,1,0,"The French say “Enchanté” when they greet each other. Andrew Murray has named their Estate-Grown, signature white blend of Grenache Blanc and Roussanne after this expression. These two varieties are truly yin and yang. Roussanne is rich and unctuous, while Grenache Blanc is bright and racy. The two complement each other perfectly! The winery fermented and aged this wine in older French Oak barrels, which lends a beautifully smooth texture to this dry white wine. "
Olivier Gergaud,white,J1,14.0,0,0,Pale gold color. Very refreshing aromas of citrus fruit (grapefruit) mixed with fresh honey enhanced by a hint of minerality. Well-structured and tense. Well-integrated acidity and beautiful minerality. Energetic aftertaste.
Robert Hodgson,white,A1,17.0,1,1,"After hand-picking, whole cluster pressing, and complete primary malo-lactic fermentation in the barrel (which are 50% new French), the wine was aged sur-lie for 12 months. The final product is a wine of balance and restraint with underlying power. You can smell and taste the flinty soil. After bottle aging for a year the limey, lemony flavors and aromas are starting to become more apparent."
Robert Hodgson,white,B1,11.0,1,1,"This enticing Sauvignon Blanc offers a beautiful combination of freshness and complexity. The aromas are rich and layered with elements of pineapple, guava, peach and lemon zest. On the palate, the entry is crisp and inviting with good acidity supporting flavors of lemon meringue, grapefruit, pear and flint. The addition of Semillon ccentuates the wine's tropical notes with subtle oak adding nuance and dimension. "
Robert Hodgson,white,C1,13.0,0,1,"Our 2013 Gewurztraminer displays classic rose and ginger aromatics. The concentration of the vintage is apparent in the mouth, there is great texture to balance the abundant fruit. We strive for balance, this grape seems almost naturally prone to excess, with great interplay between acid and fruit. This balance is key with great Gewurztraminers, both in texture and flavor. The 2013 vintage is a showy vintage, yet and displays the floral notes, tropical fruit, and spice flavors that are the hallmarks of Thomas Fogarty Gewurztraminer. "
Robert Hodgson,white,D1,14.0,0,1,"""Light gold. A stunning bouquet offers powerful pear, peach pit, anise, salty minerality and a huge wallop of smoky peat-this smells like an Islay whisky! Painfully concentrated pit fruit flavors are complemented by orange peel, clove and smoked meat, but there's an elegance to this that's reminiscent of a top-notch Burgundy. A simply remarkable wine, with uncanny complexity and depth of flavor."""
Robert Hodgson,white,E1,14.0,1,1,"This is perhaps the most elegant Chardonnay ever produced by Chalk Hill.  The wine displays the tropical fruit and mineral characteristics of the estate, and is delicately infused with citrus, pear and honeysuckle, an imprint from the cool vintage conditions."
Robert Hodgson,white,F1,10.0,1,1,"This Napa Valley Sauvignon Blanc is lively, and bright with aromasof citrus blossom, grapefruit and lemongrass. It's intense flavorbursts with refreshing fruit on the palate. White peach, grapefruit,and tropical fruit notes are followed by balanced minerality that iscomplemented by a long, rich finish. Enjoy with oysters, shrimpscampi, grilled fish or even fried chicken. It is also great on its ownwith friends and family. Cheers!"
Robert Hodgson,white,G1,9.0,1,1,"This cuvee's complexity and finesse stem from the harmony between the structure, richness, and power from the Marnes soil and the light, floral fruitiness lent by the Caillottes. This double origin gives this wine its remarkable personality."
Robert Hodgson,white,H1,9.0,0,1,"The spectacular 2010 vintage in the Chalone appellation gave this Chardonnay its highly nuanced flavors and exceptional structure.  The cool temperatures allowed us to patiently wait for wonderfully ripe flavors, revealed in the wine as layers of peach, pear and citrus, while the pronounced minerality and silky texture come from our unique terroir.  As always, right after bottling, I found fresh, lemony notes predominating in the aromas, but it is now starting to develop the complex brioche nuances that I love in this wine as it ages."
Robert Hodgson,white,I1,10.0,1,1,"The French say “Enchanté” when they greet each other. Andrew Murray has named their Estate-Grown, signature white blend of Grenache Blanc and Roussanne after this expression. These two varieties are truly yin and yang. Roussanne is rich and unctuous, while Grenache Blanc is bright and racy. The two complement each other perfectly! The winery fermented and aged this wine in older French Oak barrels, which lends a beautifully smooth texture to this dry white wine. "
Robert Hodgson,white,J1,10.0,0,1,Pale gold color. Very refreshing aromas of citrus fruit (grapefruit) mixed with fresh honey enhanced by a hint of minerality. Well-structured and tense. Well-integrated acidity and beautiful minerality. Energetic aftertaste.
Linda Murphy,white,A1,15.5,1,1,"After hand-picking, whole cluster pressing, and complete primary malo-lactic fermentation in the barrel (which are 50% new French), the wine was aged sur-lie for 12 months. The final product is a wine of balance and restraint with underlying power. You can smell and taste the flinty soil. After bottle aging for a year the limey, lemony flavors and aromas are starting to become more apparent."
Linda Murphy,white,B1,15.0,1,1,"This enticing Sauvignon Blanc offers a beautiful combination of freshness and complexity. The aromas are rich and layered with elements of pineapple, guava, peach and lemon zest. On the palate, the entry is crisp and inviting with good acidity supporting flavors of lemon meringue, grapefruit, pear and flint. The addition of Semillon ccentuates the wine's tropical notes with subtle oak adding nuance and dimension. "
Linda Murphy,white,C1,17.0,0,1,"Our 2013 Gewurztraminer displays classic rose and ginger aromatics. The concentration of the vintage is apparent in the mouth, there is great texture to balance the abundant fruit. We strive for balance, this grape seems almost naturally prone to excess, with great interplay between acid and fruit. This balance is key with great Gewurztraminers, both in texture and flavor. The 2013 vintage is a showy vintage, yet and displays the floral notes, tropical fruit, and spice flavors that are the hallmarks of Thomas Fogarty Gewurztraminer. "
Linda Murphy,white,D1,18.0,0,1,"""Light gold. A stunning bouquet offers powerful pear, peach pit, anise, salty minerality and a huge wallop of smoky peat-this smells like an Islay whisky! Painfully concentrated pit fruit flavors are complemented by orange peel, clove and smoked meat, but there's an elegance to this that's reminiscent of a top-notch Burgundy. A simply remarkable wine, with uncanny complexity and depth of flavor."""
Linda Murphy,white,E1,16.0,1,1,"This is perhaps the most elegant Chardonnay ever produced by Chalk Hill.  The wine displays the tropical fruit and mineral characteristics of the estate, and is delicately infused with citrus, pear and honeysuckle, an imprint from the cool vintage conditions."
Linda Murphy,white,F1,17.0,1,1,"This Napa Valley Sauvignon Blanc is lively, and bright with aromasof citrus blossom, grapefruit and lemongrass. It's intense flavorbursts with refreshing fruit on the palate. White peach, grapefruit,and tropical fruit notes are followed by balanced minerality that iscomplemented by a long, rich finish. Enjoy with oysters, shrimpscampi, grilled fish or even fried chicken. It is also great on its ownwith friends and family. Cheers!"
Linda Murphy,white,G1,15.0,1,1,"This cuvee's complexity and finesse stem from the harmony between the structure, richness, and power from the Marnes soil and the light, floral fruitiness lent by the Caillottes. This double origin gives this wine its remarkable personality."
Linda Murphy,white,H1,14.0,0,1,"The spectacular 2010 vintage in the Chalone appellation gave this Chardonnay its highly nuanced flavors and exceptional structure.  The cool temperatures allowed us to patiently wait for wonderfully ripe flavors, revealed in the wine as layers of peach, pear and citrus, while the pronounced minerality and silky texture come from our unique terroir.  As always, right after bottling, I found fresh, lemony notes predominating in the aromas, but it is now starting to develop the complex brioche nuances that I love in this wine as it ages."
Linda Murphy,white,I1,16.0,1,1,"The French say “Enchanté” when they greet each other. Andrew Murray has named their Estate-Grown, signature white blend of Grenache Blanc and Roussanne after this expression. These two varieties are truly yin and yang. Roussanne is rich and unctuous, while Grenache Blanc is bright and racy. The two complement each other perfectly! The winery fermented and aged this wine in older French Oak barrels, which lends a beautifully smooth texture to this dry white wine. "
Linda Murphy,white,J1,17.0,0,1,Pale gold color. Very refreshing aromas of citrus fruit (grapefruit) mixed with fresh honey enhanced by a hint of minerality. Well-structured and tense. Well-integrated acidity and beautiful minerality. Energetic aftertaste.
Daniele Meulder,white,A1,10.0,1,0,"After hand-picking, whole cluster pressing, and complete primary malo-lactic fermentation in the barrel (which are 50% new French), the wine was aged sur-lie for 12 months. The final product is a wine of balance and restraint with underlying power. You can smell and taste the flinty soil. After bottle aging for a year the limey, lemony flavors and aromas are starting to become more apparent."
Daniele Meulder,white,B1,15.0,1,0,"This enticing Sauvignon Blanc offers a beautiful combination of freshness and complexity. The aromas are rich and layered with elements of pineapple, guava, peach and lemon zest. On the palate, the entry is crisp and inviting with good acidity supporting flavors of lemon meringue, grapefruit, pear and flint. The addition of Semillon ccentuates the wine's tropical notes with subtle oak adding nuance and dimension. "
Daniele Meulder,white,C1,12.0,0,0,"Our 2013 Gewurztraminer displays classic rose and ginger aromatics. The concentration of the vintage is apparent in the mouth, there is great texture to balance the abundant fruit. We strive for balance, this grape seems almost naturally prone to excess, with great interplay between acid and fruit. This balance is key with great Gewurztraminers, both in texture and flavor. The 2013 vintage is a showy vintage, yet and displays the floral notes, tropical fruit, and spice flavors that are the hallmarks of Thomas Fogarty Gewurztraminer. "
Daniele Meulder,white,D1,12.0,0,0,"""Light gold. A stunning bouquet offers powerful pear, peach pit, anise, salty minerality and a huge wallop of smoky peat-this smells like an Islay whisky! Painfully concentrated pit fruit flavors are complemented by orange peel, clove and smoked meat, but there's an elegance to this that's reminiscent of a top-notch Burgundy. A simply remarkable wine, with uncanny complexity and depth of flavor."""
Daniele Meulder,white,E1,15.0,1,0,"This is perhaps the most elegant Chardonnay ever produced by Chalk Hill.  The wine displays the tropical fruit and mineral characteristics of the estate, and is delicately infused with citrus, pear and honeysuckle, an imprint from the cool vintage conditions."
Daniele Meulder,white,F1,14.0,1,0,"This Napa Valley Sauvignon Blanc is lively, and bright with aromasof citrus blossom, grapefruit and lemongrass. It's intense flavorbursts with refreshing fruit on the palate. White peach, grapefruit,and tropical fruit notes are followed by balanced minerality that iscomplemented by a long, rich finish. Enjoy with oysters, shrimpscampi, grilled fish or even fried chicken. It is also great on its ownwith friends and family. Cheers!"
Daniele Meulder,white,G1,15.0,1,0,"This cuvee's complexity and finesse stem from the harmony between the structure, richness, and power from the Marnes soil and the light, floral fruitiness lent by the Caillottes. This double origin gives this wine its remarkable personality."
Daniele Meulder,white,H1,12.0,0,0,"The spectacular 2010 vintage in the Chalone appellation gave this Chardonnay its highly nuanced flavors and exceptional structure.  The cool temperatures allowed us to patiently wait for wonderfully ripe flavors, revealed in the wine as layers of peach, pear and citrus, while the pronounced minerality and silky texture come from our unique terroir.  As always, right after bottling, I found fresh, lemony notes predominating in the aromas, but it is now starting to develop the complex brioche nuances that I love in this wine as it ages."
Daniele Meulder,white,I1,15.0,1,0,"The French say “Enchanté” when they greet each other. Andrew Murray has named their Estate-Grown, signature white blend of Grenache Blanc and Roussanne after this expression. These two varieties are truly yin and yang. Roussanne is rich and unctuous, while Grenache Blanc is bright and racy. The two complement each other perfectly! The winery fermented and aged this wine in older French Oak barrels, which lends a beautifully smooth texture to this dry white wine. "
Daniele Meulder,white,J1,12.0,0,0,Pale gold color. Very refreshing aromas of citrus fruit (grapefruit) mixed with fresh honey enhanced by a hint of minerality. Well-structured and tense. Well-integrated acidity and beautiful minerality. Energetic aftertaste.
Jamal Rayyis,white,A1,16.0,1,0,"After hand-picking, whole cluster pressing, and complete primary malo-lactic fermentation in the barrel (which are 50% new French), the wine was aged sur-lie for 12 months. The final product is a wine of balance and restraint with underlying power. You can smell and taste the flinty soil. After bottle aging for a year the limey, lemony flavors and aromas are starting to become more apparent."
Jamal Rayyis,white,B1,15.0,1,0,"This enticing Sauvignon Blanc offers a beautiful combination of freshness and complexity. The aromas are rich and layered with elements of pineapple, guava, peach and lemon zest. On the palate, the entry is crisp and inviting with good acidity supporting flavors of lemon meringue, grapefruit, pear and flint. The addition of Semillon ccentuates the wine's tropical notes with subtle oak adding nuance and dimension. "
Jamal Rayyis,white,C1,14.5,0,0,"Our 2013 Gewurztraminer displays classic rose and ginger aromatics. The concentration of the vintage is apparent in the mouth, there is great texture to balance the abundant fruit. We strive for balance, this grape seems almost naturally prone to excess, with great interplay between acid and fruit. This balance is key with great Gewurztraminers, both in texture and flavor. The 2013 vintage is a showy vintage, yet and displays the floral notes, tropical fruit, and spice flavors that are the hallmarks of Thomas Fogarty Gewurztraminer. "
Jamal Rayyis,white,D1,17.5,0,0,"""Light gold. A stunning bouquet offers powerful pear, peach pit, anise, salty minerality and a huge wallop of smoky peat-this smells like an Islay whisky! Painfully concentrated pit fruit flavors are complemented by orange peel, clove and smoked meat, but there's an elegance to this that's reminiscent of a top-notch Burgundy. A simply remarkable wine, with uncanny complexity and depth of flavor."""
Jamal Rayyis,white,E1,16.5,1,0,"This is perhaps the most elegant Chardonnay ever produced by Chalk Hill.  The wine displays the tropical fruit and mineral characteristics of the estate, and is delicately infused with citrus, pear and honeysuckle, an imprint from the cool vintage conditions."
Jamal Rayyis,white,F1,14.0,1,0,"This Napa Valley Sauvignon Blanc is lively, and bright with aromasof citrus blossom, grapefruit and lemongrass. It's intense flavorbursts with refreshing fruit on the palate. White peach, grapefruit,and tropical fruit notes are followed by balanced minerality that iscomplemented by a long, rich finish. Enjoy with oysters, shrimpscampi, grilled fish or even fried chicken. It is also great on its ownwith friends and family. Cheers!"
Jamal Rayyis,white,G1,12.0,1,0,"This cuvee's complexity and finesse stem from the harmony between the structure, richness, and power from the Marnes soil and the light, floral fruitiness lent by the Caillottes. This double origin gives this wine its remarkable personality."
Jamal Rayyis,white,H1,15.0,0,0,"The spectacular 2010 vintage in the Chalone appellation gave this Chardonnay its highly nuanced flavors and exceptional structure.  The cool temperatures allowed us to patiently wait for wonderfully ripe flavors, revealed in the wine as layers of peach, pear and citrus, while the pronounced minerality and silky texture come from our unique terroir.  As always, right after bottling, I found fresh, lemony notes predominating in the aromas, but it is now starting to develop the complex brioche nuances that I love in this wine as it ages."
Jamal Rayyis,white,I1,13.0,1,0,"The French say “Enchanté” when they greet each other. Andrew Murray has named their Estate-Grown, signature white blend of Grenache Blanc and Roussanne after this expression. These two varieties are truly yin and yang. Roussanne is rich and unctuous, while Grenache Blanc is bright and racy. The two complement each other perfectly! The winery fermented and aged this wine in older French Oak barrels, which lends a beautifully smooth texture to this dry white wine. "
Jamal Rayyis,white,J1,12.0,0,0,Pale gold color. Very refreshing aromas of citrus fruit (grapefruit) mixed with fresh honey enhanced by a hint of minerality. Well-structured and tense. Well-integrated acidity and beautiful minerality. Energetic aftertaste.
Francis Schott,white,A1,17.0,1,1,"After hand-picking, whole cluster pressing, and complete primary malo-lactic fermentation in the barrel (which are 50% new French), the wine was aged sur-lie for 12 months. The final product is a wine of balance and restraint with underlying power. You can smell and taste the flinty soil. After bottle aging for a year the limey, lemony flavors and aromas are starting to become more apparent."
Francis Schott,white,B1,16.0,1,1,"This enticing Sauvignon Blanc offers a beautiful combination of freshness and complexity. The aromas are rich and layered with elements of pineapple, guava, peach and lemon zest. On the palate, the entry is crisp and inviting with good acidity supporting flavors of lemon meringue, grapefruit, pear and flint. The addition of Semillon ccentuates the wine's tropical notes with subtle oak adding nuance and dimension. "
Francis Schott,white,C1,12.0,0,1,"Our 2013 Gewurztraminer displays classic rose and ginger aromatics. The concentration of the vintage is apparent in the mouth, there is great texture to balance the abundant fruit. We strive for balance, this grape seems almost naturally prone to excess, with great interplay between acid and fruit. This balance is key with great Gewurztraminers, both in texture and flavor. The 2013 vintage is a showy vintage, yet and displays the floral notes, tropical fruit, and spice flavors that are the hallmarks of Thomas Fogarty Gewurztraminer. "
Francis Schott,white,D1,18.0,0,1,"""Light gold. A stunning bouquet offers powerful pear, peach pit, anise, salty minerality and a huge wallop of smoky peat-this smells like an Islay whisky! Painfully concentrated pit fruit flavors are complemented by orange peel, clove and smoked meat, but there's an elegance to this that's reminiscent of a top-notch Burgundy. A simply remarkable wine, with uncanny complexity and depth of flavor."""
Francis Schott,white,E1,15.0,1,1,"This is perhaps the most elegant Chardonnay ever produced by Chalk Hill.  The wine displays the tropical fruit and mineral characteristics of the estate, and is delicately infused with citrus, pear and honeysuckle, an imprint from the cool vintage conditions."
